"sfGFP_Sens_molecules","mCherry_Sens_molecules","genotype"
39.48,26.29,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
20.26,50.54,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
59.83,5.46,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
64.83,134.48,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
128.11,199.84,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
113.54,36.32,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
363.16,277.02,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
322.91,362.16,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
446.95,449.8,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
251.84,157.74,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
304.45,174.22,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
279.78,440.67,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
191.6,222.06,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
188.23,182.16,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
275.65,180.39,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
120.4,3.72,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
91.34,128.22,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
300.93,261.68,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
748.03,426.65,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
452.66,508.8,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
51.76,121.48,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
304.05,502.47,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
216.3,529.74,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
239.31,336.98,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
352.12,486.27,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
299.95,388.87,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
158.72,357.05,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
333.75,468.12,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
584.27,947.95,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
