"x_coordinate","y_coordinate","Disc_ID","Bin_avg_protein_molecules","Bin_Fano_factor","genotype"
814.65,566.74,29,45.35,102.94,"57F5/57F5 mutant"
1073.61,1380.58,29,45.35,102.94,"57F5/57F5 mutant"
1029.26,1275.28,29,45.35,102.94,"57F5/57F5 mutant"
10.72,1170.77,29,46.2,34.72,"57F5/57F5 mutant"
821.1,2022.43,29,47.19,57.36,"57F5/57F5 mutant"
1108.4,312.93,29,48.41,16.45,"57F5/57F5 mutant"
433.96,749.61,29,49.24,20.79,"57F5/57F5 mutant"
828.23,608.14,29,49.24,20.79,"57F5/57F5 mutant"
1153.81,1302.7,29,49.24,20.79,"57F5/57F5 mutant"
1053.1,1934.13,29,51.41,31.64,"57F5/57F5 mutant"
833.31,448.13,29,51.41,31.64,"57F5/57F5 mutant"
874.89,604.66,29,51.41,31.64,"57F5/57F5 mutant"
1344.37,894.93,29,52.93,24.85,"57F5/57F5 mutant"
1141.66,1907.79,29,52.93,24.85,"57F5/57F5 mutant"
1083.23,329.45,29,53.83,19,"57F5/57F5 mutant"
168.3,1267.19,29,53.83,19,"57F5/57F5 mutant"
689.49,1729.54,29,53.83,19,"57F5/57F5 mutant"
804.03,1841.94,29,53.83,19,"57F5/57F5 mutant"
923.05,1892.81,29,55.21,21.2,"57F5/57F5 mutant"
12.09,1023.83,29,55.21,21.2,"57F5/57F5 mutant"
416.43,727.36,29,55.21,21.2,"57F5/57F5 mutant"
989.53,596.35,29,56.32,62.81,"57F5/57F5 mutant"
73.78,1073.87,29,56.32,62.81,"57F5/57F5 mutant"
815.6,1797.76,29,58.89,44.3,"57F5/57F5 mutant"
105.51,1100.44,29,60.2,36.97,"57F5/57F5 mutant"
335.11,793.12,29,60.2,36.97,"57F5/57F5 mutant"
1131.04,862.59,29,60.2,36.97,"57F5/57F5 mutant"
2030.24,1218.43,29,60.2,36.97,"57F5/57F5 mutant"
68.57,1050,29,60.2,36.97,"57F5/57F5 mutant"
447.68,1389.54,29,60.2,36.97,"57F5/57F5 mutant"
54.25,208.98,29,61.77,20.99,"57F5/57F5 mutant"
1299.66,1331.46,29,61.77,20.99,"57F5/57F5 mutant"
1332.6,759.84,29,61.77,20.99,"57F5/57F5 mutant"
1335.84,905.46,29,62.83,8.74,"57F5/57F5 mutant"
845.1,1136.77,29,62.83,8.74,"57F5/57F5 mutant"
452.44,784.09,29,62.83,8.74,"57F5/57F5 mutant"
1027.41,1272.06,29,64.53,40.26,"57F5/57F5 mutant"
1136.25,1392.17,29,64.53,40.26,"57F5/57F5 mutant"
1104.66,859.47,29,64.53,40.26,"57F5/57F5 mutant"
538.89,1013,29,64.53,40.26,"57F5/57F5 mutant"
645.82,276.79,29,64.53,40.26,"57F5/57F5 mutant"
762,483.01,29,65.78,36.99,"57F5/57F5 mutant"
962.23,594.21,29,65.78,36.99,"57F5/57F5 mutant"
1099.48,1881.99,29,65.78,36.99,"57F5/57F5 mutant"
686.35,180.42,29,65.78,36.99,"57F5/57F5 mutant"
986.07,1225.69,29,65.78,36.99,"57F5/57F5 mutant"
158.67,1197.37,29,65.78,36.99,"57F5/57F5 mutant"
1070.76,1327.48,29,67.55,42.49,"57F5/57F5 mutant"
52.33,210.94,29,67.55,42.49,"57F5/57F5 mutant"
672.87,1723.57,29,67.55,42.49,"57F5/57F5 mutant"
1040.49,677.68,29,67.55,42.49,"57F5/57F5 mutant"
1150.96,1294.62,29,67.55,42.49,"57F5/57F5 mutant"
469.32,884.54,29,67.55,42.49,"57F5/57F5 mutant"
727.03,328.41,29,67.55,42.49,"57F5/57F5 mutant"
659.96,1649.17,29,68.81,55.19,"57F5/57F5 mutant"
686.32,2042.77,29,68.81,55.19,"57F5/57F5 mutant"
854.8,599.6,29,70.36,35.49,"57F5/57F5 mutant"
1001.22,599.67,29,70.36,35.49,"57F5/57F5 mutant"
1156.05,1891.95,29,70.36,35.49,"57F5/57F5 mutant"
530.91,203.49,29,70.36,35.49,"57F5/57F5 mutant"
1027.22,1273.26,29,70.36,35.49,"57F5/57F5 mutant"
947.04,1912.03,29,70.36,35.49,"57F5/57F5 mutant"
938.69,111.32,29,72.11,17.33,"57F5/57F5 mutant"
975.05,1270.86,29,72.11,17.33,"57F5/57F5 mutant"
1291.74,862.85,29,72.11,17.33,"57F5/57F5 mutant"
293.84,1352.68,29,72.11,17.33,"57F5/57F5 mutant"
1229.68,1361.17,29,72.11,17.33,"57F5/57F5 mutant"
1294.99,1381.7,29,72.11,17.33,"57F5/57F5 mutant"
231.7,1364.12,29,73.57,16.29,"57F5/57F5 mutant"
934.81,1908.5,29,73.57,16.29,"57F5/57F5 mutant"
1173.3,1897.21,29,73.57,16.29,"57F5/57F5 mutant"
2037.65,1218.36,29,73.57,16.29,"57F5/57F5 mutant"
418.34,754.5,29,73.57,16.29,"57F5/57F5 mutant"
420.27,1950.82,29,75.38,62.92,"57F5/57F5 mutant"
1478.3,976.97,29,75.38,62.92,"57F5/57F5 mutant"
358.09,623.01,29,75.38,62.92,"57F5/57F5 mutant"
839.43,1842.47,29,75.38,62.92,"57F5/57F5 mutant"
1196.06,1454.17,29,75.38,62.92,"57F5/57F5 mutant"
62.16,1039.94,29,77.1,42.56,"57F5/57F5 mutant"
715.55,393.57,29,77.1,42.56,"57F5/57F5 mutant"
830.61,1064.14,29,77.1,42.56,"57F5/57F5 mutant"
758.83,1122.05,29,77.1,42.56,"57F5/57F5 mutant"
1403.96,946.58,29,77.1,42.56,"57F5/57F5 mutant"
363.02,608.33,29,77.1,42.56,"57F5/57F5 mutant"
1018.28,1890.63,29,78.77,61.9,"57F5/57F5 mutant"
161.07,1209.05,29,78.77,61.9,"57F5/57F5 mutant"
839.98,592.48,29,78.77,61.9,"57F5/57F5 mutant"
748.91,503.16,29,78.77,61.9,"57F5/57F5 mutant"
925.27,1888.61,29,78.77,61.9,"57F5/57F5 mutant"
1230.12,1360.67,29,78.77,61.9,"57F5/57F5 mutant"
187.71,146.84,29,78.77,61.9,"57F5/57F5 mutant"
1008.64,1794.3,29,78.77,61.9,"57F5/57F5 mutant"
1595.57,1192.71,29,78.77,61.9,"57F5/57F5 mutant"
1074.53,1333.67,29,80.51,50.06,"57F5/57F5 mutant"
529.21,201.09,29,80.51,50.06,"57F5/57F5 mutant"
904.56,1104.36,29,80.51,50.06,"57F5/57F5 mutant"
935.86,1902.9,29,80.51,50.06,"57F5/57F5 mutant"
172.64,1179.74,29,80.51,50.06,"57F5/57F5 mutant"
1092.99,1289.19,29,80.51,50.06,"57F5/57F5 mutant"
210.71,264,29,80.51,50.06,"57F5/57F5 mutant"
901.72,1121.9,29,80.51,50.06,"57F5/57F5 mutant"
1875.49,1294.76,29,82.38,50.75,"57F5/57F5 mutant"
968.75,739.29,29,82.38,50.75,"57F5/57F5 mutant"
132.12,1436.22,29,82.38,50.75,"57F5/57F5 mutant"
987.57,1871.97,29,84.04,58.54,"57F5/57F5 mutant"
132.75,392.34,29,84.04,58.54,"57F5/57F5 mutant"
17.7,1029,29,84.04,58.54,"57F5/57F5 mutant"
1509.2,1030.86,29,84.04,58.54,"57F5/57F5 mutant"
10.35,930.3,29,84.04,58.54,"57F5/57F5 mutant"
641.81,1572.06,29,84.04,58.54,"57F5/57F5 mutant"
753.79,1783.87,29,85.91,55.98,"57F5/57F5 mutant"
138.38,339.13,29,85.91,55.98,"57F5/57F5 mutant"
444.39,806.43,29,85.91,55.98,"57F5/57F5 mutant"
689.47,1750.53,29,85.91,55.98,"57F5/57F5 mutant"
711.84,337.98,29,85.91,55.98,"57F5/57F5 mutant"
112.39,1102.24,29,85.91,55.98,"57F5/57F5 mutant"
128.98,1226.55,29,85.91,55.98,"57F5/57F5 mutant"
448.43,1395.98,29,85.91,55.98,"57F5/57F5 mutant"
